carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2780.702125483791
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,844.6845706956688
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,686.7975947663795
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,9913.075970546173
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5985.821214979581
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1575.704922707313
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,379.53891012667737
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,11361.846687965608
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,11849.216551519363
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,440.92256769932374
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1359.6036060198448
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6940.4093003010385
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,463.9398351353643
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2157.8688498994434
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3525.277654030735
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,981.5605615851264
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,681.0520767668531
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,6212.526402837164
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8416.216563601223
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2153.466952355537
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,880.9309929430963
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2489.9570517396355
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3349.843424326721
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1313.2800240479446
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5180.44529101935
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5873.431922026191
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6808.697988672331
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,15583.41062056569
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,10792.177201425642
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13101.518888061619
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,480.05361945661406
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2858.37637901311
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4334.638102255004
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,7945.593682460207
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2185.0487830622988
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2054.930907205416
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6551.832868311634
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1539.648951604211
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,8753.995410947215
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1389.9292125628508
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10076.625284865468
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5684.2396435876435
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,10356.965842588794
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3260.9396790458773
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,555.7681850548674
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,14415.933613476811
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,408.12015768739593
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1594.8335774038467
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3970.4127772235024
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,6302.582486307716
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6686.6064284430295
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1963.6056669560098
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1308.4866956621554
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4734.902892072999
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3620.968909207393
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2795.8018654326825
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,888.8600578730939
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2982.588219913896
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3628.8279045530376
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5467.591321105238
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2979.4111013286215
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6232.422398190822
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2569.44055725284
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6222.010852829253
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2721.3135756952543
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3383.205848413207
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,13891.97540123426
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,882.2616428341198
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4411.024982011357
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3458.946787003207
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,13211.199553671882
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3343.733228705737
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,4814.124928265177
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,1164.321865926926
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,758.4936683924816
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,734.687849455097
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,8340.313230600766
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11244.323609562813
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,4860.244090011326
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,954.3159436151218
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2106.597374329477
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6111.706823825361
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2989.228783191001
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,713.648688022452
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,727.6218000910058
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2373.9163828045785
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,8796.645087598194
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8289.3466646105
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4951.315166848865
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,356.4771922689071
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,421.8949597170636
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,916.4370906619561
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,1998.935411439686
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1509.3897610596262
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,544.6254669069117
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,7192.935370666404
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1255.9710897478708
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,6081.462808252767
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,984.1142917967627
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3432.236377842726
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1502.2468912676259
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4257.87052278393
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,662.2472506488302
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4829.70539792256
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,6786.099595550262
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4687.605086740128
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6316.43734859753
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3819.5384239810805
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2078.33486054292
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2992.771446114633
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,551.0818191430035
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3721.4998474431613
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6284.513859836533
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,11191.474207176843
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,9684.238275664737
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2672.0579717377786
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1981.2077299056482
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1546.9987059410641
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1703.70005182548
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,554.8668377515442
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1476.1401988929974
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2238.8271403710005
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,8758.632173474936
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,8468.008404167413
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,4848.540474306628
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1366.5754870099506
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1104.6226090670143
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,819.4335533802569
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,383.0973260739602
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,7342.392346192588
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,995.3046108693193
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1049.7906709155318
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1028.2897354501015
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,559.9831340933506
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,10188.748171600186
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,6935.615971915249
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5418.199362469359
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,11106.411905966004
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,568.463079150747
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,21444.36483036544
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5065.4789189812
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,855.463080945404
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,17476.51950370171
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2160.483472504433
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2335.6070501432832
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10852.939861909803
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,613.7069989979627
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,9557.590158523315
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,479.05333024544973
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,4357.856011515452
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,561.1680727342464
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2890.846782858125
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9275.060062393333
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,6093.788607017632
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,17374.067733139338
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2475.989236870945
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5224.740730213793
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,599.0969177165707
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,6350.818536180065
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,15336.099295943439
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,359.92860597524714
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9674.089430387234
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,888.5148968925402
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,10111.230843423935
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,12849.595293997852
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,586.1476125546369
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,1721.5817993241667
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,621.5437245404621
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,9097.703512407885
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,9625.35811407725
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,553.5832328783399
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3176.6096914972995
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,1682.2270760048623
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,1739.0195092205558
